"3_ 1",,,,,"3 _ 2",,,,,"3 _ 3",,,,,"3 _ 4",,,,,"3_ 5",,,,,"3_ 6",,,,,"3 _ 7",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
"0","10.12484","0","0","0","0","10.14868","0","0","0","0","10.403","0","0","0","0","10.07716","0","0","0","0","10.22021","0","0","0","0","10.46658","0","0","0","0","10.21226","0","0","0"
"0.01","11.04673","0.00049375","0","0","0.01","11.15004","0.00050625","0","0","0.01","11.36462","0.00049375","0","0","0.01","11.08646","0.00049375","0","0","0.01","11.17388","0.0005","0","0","0.01","11.47588","0.0005","0","0","0.01","11.10236","0.00049375","0","0"
"0.02","11.99245","0.0009875","0","0","0.02","12.12756","0.00101875","0","0","0.02","12.42955","0.0009937499","0","0","0.02","12.17524","0.0009875","0","0","0.02","12.07987","0.00100625","0","0","0.02","12.53287","0.0009937499","0","0","0.02","11.96067","0.0009875","0","0"
"0.03","13.00971","0.00148125","0","0","0.03","13.11302","0.001525","0","0","0.03","13.50244","0.00149375","0.001","0","0.03","13.30376","0.001475","0","0","0.03","12.96997","0.0015125","0","0","0.03","13.65344","0.0014875","0","0","0.03","12.76334","0.00148125","0","0"
"0.04","14.05875","0.00196875","0.001","0","0.04","14.09054","0.002025","0.001","0","0.04","14.54353","0.002","0.001","0","0.04","14.42432","0.00196875","0","0","0.04","13.92365","0.00201875","0.001","0","0.04","14.76606","0.00198125","0.001","0","0.04","13.55012","0.00196875","0","0"
"0.05","15.076","0.0024625","0.001","0","0.05","15.02832","0.00251875","0.001","0","0.05","15.58463","0.00250625","0.001","0","0.05","15.48926","0.002475","0.001","0","0.05","14.96474","0.00251875","0.001","0","0.05","15.8151","0.00246875","0.001","0","0.05","14.34485","0.0024625","0","0"
"0.06","16.05352","0.0029625","0.001","0","0.06","15.93431","0.0030125","0.001","0","0.06","16.65751","0.0030125","0.001","0","0.06","16.48267","0.0029875","0.001","0","0.06","16.07736","0.0030125","0.001","0","0.06","16.80056","0.002975","0.001","0","0.06","15.19521","0.00296875","0.001","0"
"0.07","16.9913","0.00346875","0.001","0","0.07","16.80851","0.0035125","0.001","0","0.07","17.75424","0.0035125","0.002","0","0.07","17.48403","0.00349375","0.001","0","0.07","17.15819","0.0035125","0.002","0","0.07","17.80192","0.00348125","0.001","0","0.07","16.07736","0.003475","0.001","0"
"0.08","17.89729","0.003975","0.001","0","0.08","17.75424","0.0040125","0.001","0","0.08","18.83507","0.00400625","0.002","0","0.08","18.46949","0.00399375","0.001","0","0.08","18.18339","0.0040125","0.002","0","0.08","18.83507","0.0039875","0.002","0","0.08","16.91977","0.0039875","0.001","0"
"0.09","18.77944","0.00448125","0.002","0","0.09","18.78738","0.0045125","0.001","0","0.09","19.90795","0.0045","0.002","0","0.09","19.42317","0.0044875","0.001","0","0.09","19.24038","0.00451875","0.002","0","0.09","19.88411","0.00449375","0.002","0","0.09","17.73039","0.0044875","0.001","0"
