"2 _ 1",,,,,"2 _ 2",,,,,"2 _ 3",,,,,"2 _ 4",,,,,"2 _ 5",,,,,"2 _ 6",,,,,"2 _ 7",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
,,,,,,,,,,,,,,,"362.18","3293.451","25.00031","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.19","3293.443","25.00112","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.2","3293.371","25.00194","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.21","3293.323","25.00276","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.22","3293.323","25.0036","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.23","3293.363","25.00445","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.24","3293.427","25.00528","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.25","3293.451","25.00612","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.26","3293.419","25.00696","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.27","3293.339","25.0078","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.28","3293.3","25.00864","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.29","3293.3","25.00947","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.3","3293.316","25.01028","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.31","3293.323","25.0111","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.32","3293.347","25.01194","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.33","3293.339","25.01279","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.34","3293.3","25.01362","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.35","3293.276","25.01446","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.36","3293.292","25.01529","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.37","3293.3","25.01614","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.38","3293.316","25.01697","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.39","3293.323","25.01779","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.4","3293.316","25.01861","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.41","3293.292","25.01942","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.42","3293.244","25.02026","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.43","3293.204","25.02111","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.44","3293.18","25.02195","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.45","3293.149","25.02279","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.46","3293.085","25.02363","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.47","3293.061","25.02447","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.48","3293.085","25.0253","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.49","3293.117","25.02612","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.5","3293.149","25.02694","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.51","3293.157","25.02776","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.52","3293.173","25.02861","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.53","3293.133","25.02945","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.54","3293.061","25.03028","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.55","3292.998","25.03112","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.56","3292.95","25.03196","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.57","3292.918","25.0328","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.58","3292.894","25.03364","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.59","3292.847","25.03447","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.6","3292.807","25.03528","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.61","3292.807","25.03609","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.62","3292.831","25.03694","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.63","3292.847","25.03778","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.64","3292.855","25.0386","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.65","3292.902","25.03945","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.66","3292.966","25.04029","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.67","3292.99","25.04113","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.68","3292.918","25.04198","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.69","3292.799","25.0428","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.7","3292.735","25.04361","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.71","3292.775","25.04443","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.72","3292.855","25.04528","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.73","3292.926","25.04612","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.74","3292.926","25.04695","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.75","3292.847","25.04778","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.76","3292.743","25.04862","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.77","3292.712","25.04946","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.78","3292.735","25.05029","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.79","3292.799","25.05112","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.8","3292.871","25.05194","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.81","3292.878","25.05276","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.82","3292.871","25.0536","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.83","3292.918","25.05444","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.84","3292.998","25.05528","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.85","3293.045","25.05612","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.86","3292.998","25.05696","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.87","3292.894","25.05781","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.88","3292.799","25.05864","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.89","3292.743","25.05947","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.9","3292.735","25.06028","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.91","3292.712","25.0611","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.92","3292.696","25.06194","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.93","3292.719","25.06279","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.94","3292.775","25.06362","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.95","3292.775","25.06446","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.96","3292.712","25.0653","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.97","3292.648","25.06614","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.98","3292.64","25.06698","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"362.99","3292.672","25.0678","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"363","3292.688","25.06861","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"363.01","3292.664","25.06943","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"363.02","3292.64","25.07027","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"363.03","3292.616","25.07112","-.----","-0.404",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"363.04","3292.553","25.07195","-.----","-0.404",,,,,,,,,,,,,,,
