"4 _ 1",,,,,"4 _ 2",,,,,"4 _ 3",,,,,"4 _ 4",,,,,"4 _ 5",,,,,"4 _ 6",,,,,"4 _ 7",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
"0","10.87189","0","0","0","0","10.63347","0","0","0","0","10.28379","0","0","0","0","10.01358","0","0","0","0","10.68115","0","0","0","0","10.30763","0","0","0","0","10.49836","0","0","0"
"0.01","11.89709","0.00049375","0","0","0.01","11.70635","0.0004875","0","0","0.01","11.38846","0.0005","0","0","0.01","11.13415","0.00049375","0","0","0.01","11.92093","0.00049375","0","0","0.01","11.34078","0.00049375","0","0","0.01","11.54741","0.00050625","0","0"
"0.02","13.00176","0.00098125","0","0","0.02","12.72361","0.0009875","0","0","0.02","12.47724","0.00100625","0","0","0.02","12.23087","0.00098125","0","0","0.02","13.12097","0.00098125","0","0","0.02","12.27856","0.0009875","0","0","0.02","12.67592","0.00100625","0","0"
"0.03","14.18591","0.001475","0","0","0.03","13.74881","0.0014875","0","0","0.03","13.56602","0.0015125","0","0","0.03","13.30376","0.00146875","0","0","0.03","14.28127","0.001475","0.001","0","0.03","13.24813","0.00148125","0","0","0.03","13.78854","0.0015","0.001","0"
"0.04","15.31442","0.0019625","0","0","0.04","14.79785","0.002","0","0","0.04","14.67864","0.0020125","0","0","0.04","14.40048","0.00196875","0","0","0.04","15.40979","0.0019625","0.001","0","0.04","14.32896","0.00196875","0","0","0.04","14.86937","0.00199375","0.001","0"
"0.05","16.35551","0.002475","0.001","0","0.05","15.84689","0.00250625","0","0","0.05","15.77536","0.00250625","0","0","0.05","15.48131","0.002475","0.001","0","0.05","16.5542","0.0024625","0.001","0","0.05","15.44952","0.00245625","0","0","0.05","15.94226","0.0024875","0.001","0"
"0.06","17.34098","0.00298125","0.001","0","0.06","16.83235","0.00300625","0","0","0.06","16.90388","0.00299375","0","0","0.06","16.57804","0.0029875","0.001","0","0.06","17.69861","0.002975","0.001","0","0.06","16.47472","0.00295625","0","0","0.06","16.9754","0.00298125","0.001","0"
"0.07","18.34234","0.00349375","0.001","0","0.07","17.77013","0.0035","0.001","0","0.07","18.06418","0.00348125","0","0","0.07","17.73834","0.00349375","0.001","0","0.07","18.83507","0.00348125","0.002","0","0.07","17.4125","0.0034625","0.001","0","0.07","17.95292","0.00348125","0.001","0"
"0.08","19.39932","0.00399375","0.001","0","0.08","18.76354","0.00400625","0.001","0","0.08","19.16885","0.003975","0.001","0","0.08","18.93044","0.00399375","0.001","0","0.08","20.00332","0.0039875","0.002","0","0.08","18.37412","0.003975","0.001","0","0.08","18.93044","0.0039875","0.001","0"
"0.09","20.504","0.0044875","0.002","0","0.09","19.86822","0.00450625","0.001","0","0.09","20.23379","0.0044875","0.001","0","0.09","20.08279","0.00448125","0.001","0","0.09","21.21925","0.0044875","0.002","0","0.09","19.42317","0.00448125","0.001","0","0.09","19.96358","0.00449375","0.001","0"
"0.1","21.6643","0.00498125","0.002","0","0.1","21.01262","0.00500625","0.001","0","0.1","21.25104","0.005","0.001","0","0.1","21.21925","0.0049875","0.002","0","0.1","22.41135","0.004975","0.002","0","0.1","20.52784","0.00498125","0.001","0","0.1","21.10799","0.005","0.002","0"
"0.11","22.83255","0.00548125","0.002","0","0.11","22.08551","0.0055125","0.001","0","0.11","22.29214","0.00550625","0.001","0","0.11","22.34777","0.00549375","0.002","0","0.11","23.58755","0.00548125","0.003","0","0.11","21.67225","0.005475","0.001","0","0.11","22.30009","0.0055","0.002","0"
