"5 _ 1",,,,,"5_ 2",,,,,"5_ 3",,,,,"5 _ 4",,,,,"5_ 5",,,,,"5 _ 6",,,,,"5 _ 7",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
"0","10.33942","0","0","0","0","10.02948","0","0","0","0","10.12484","0","0","0","0","10.45068","0","0","0","0","10.33942","0","0","0","0","10.01358","0","0","0","0","10.06126","0","0","0"
"0.01","10.78447","0.0008125","0","0","0.01","10.59373","0.00084375","0","0","0.01","10.80036","0.0008375","0","0","0.01","11.06262","0.00083125","0","0","0.01","10.80831","0.00084375","0","0","0.01","10.66526","0.0008375","0","0","0.01","10.56989","0.00083125","0","0"
"0.02","11.25336","0.0016375","0","0","0.02","11.1262","0.001675","0","0","0.02","11.4282","0.001675","0","0","0.02","11.66662","0.001675","0","0","0.02","11.20567","0.001675","0","0","0.02","11.31694","0.00166875","0","0","0.02","11.07852","0.00165","0","0"
"0.03","11.82556","0.0024875","0","0","0.03","11.73814","0.0025125","0","0","0.03","12.07193","0.00251875","0.001","0","0.03","12.24677","0.002525","0","0","0.03","11.65072","0.00249375","0","0","0.03","11.97656","0.00250625","0.001","0","0.03","11.61893","0.0024625","0","0"
"0.04","12.51698","0.003325","0","0","0.04","12.42161","0.00335625","0","0","0.04","12.76334","0.00335625","0.001","0","0.04","12.81102","0.00335625","0.001","0","0.04","12.23087","0.0033","0","0","0.04","12.69182","0.00335","0.001","0","0.04","12.18319","0.00328125","0","0"
"0.05","13.27991","0.0041625","0.001","0","0.05","13.12097","0.0042","0","0","0.05","13.43886","0.0042","0.002","0","0.05","13.39118","0.00418125","0.001","0","0.05","12.90639","0.00413125","0","0","0.05","13.41502","0.0041875","0.001","0","0.05","12.77129","0.004125","0.001","0"
"0.06","14.01107","0.005","0.001","0","0.06","13.77265","0.00503125","0.001","0","0.06","14.0508","0.00503125","0.002","0","0.06","13.93954","0.00498125","0.001","0","0.06","13.51833","0.00496875","0.001","0","0.06","14.09848","0.00500625","0.002","0","0.06","13.41502","0.004975","0.001","0"
"0.07","14.60711","0.0058375","0.002","0","0.07","14.40048","0.00585","0.001","0","0.07","14.59122","0.00585","0.002","0","0.07","14.54353","0.00580625","0.002","0","0.07","14.00312","0.00581875","0.001","0","0.07","14.75016","0.0058125","0.002","0.001","0.07","14.07464","0.00580625","0.001","0"
"0.08","15.06011","0.006675","0.002","0","0.08","15.02832","0.00666875","0.002","0","0.08","15.10779","0.0066625","0.002","0","0.08","15.17137","0.00665","0.002","0","0.08","14.43227","0.00665","0.001","0","0.08","15.3621","0.0066375","0.003","0.001","0.08","14.75016","0.00665","0.002","0"
"0.09","15.529","0.00750625","0.002","0","0.09","15.62436","0.00749375","0.002","0","0.09","15.61642","0.0074875","0.002","0","0.09","15.80715","0.00749375","0.003","0","0.09","14.9409","0.00749375","0.001","0","0.09","15.9661","0.00748125","0.003","0.001","0.09","15.47337","0.0074875","0.002","0"
"0.1","16.12504","0.008324999","0.003","0","0.1","16.2522","0.00834375","0.002","0","0.1","16.15683","0.00834375","0.003","0","0.1","16.43499","0.008324999","0.003","0","0.1","15.50515","0.008331249","0.001","0","0.1","16.57009","0.008331249","0.004","0.001","0.1","16.29194","0.0083375","0.003","0"
"0.11","16.87209","0.00914375","0.003","0","0.11","16.94361","0.0091875","0.002","0","0.11","16.74493","0.00918125","0.003","0","0.11","17.07077","0.0091625","0.003","0","0.11","16.05352","0.00918125","0.002","0","0.11","17.16614","0.0091625","0.004","0.001","0.11","17.11051","0.009175","0.003","0"
