"1 _ 4",,,,,"1 _ 5",,,,,"1 _ 6",,,,,"1 _ 7",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
"0","10.101","0","0","0","0","10.5381","0","0","0","0","10.6891","0","0","0","0","10.59373","0","0","0"
"0.01","10.78447","0.00084375","0","0","0.01","11.18183","0.00085","0","0","0.01","12.04014","0.0017","0","0","0.01","11.87325","0.001675","0","0"
"0.02","11.52356","0.00168125","0","0","0.02","11.82556","0.00169375","0","0","0.02","13.42297","0.00335","0","0","0.02","13.22428","0.0033625","0","0"
"0.03","12.23087","0.0025","0.001","0","0.03","12.50108","0.002525","0","0","0.03","14.83758","0.00500625","0.001","0","0.03","14.6389","0.00504375","0.001","0"
"0.04","12.8746","0.0033125","0.001","0","0.04","13.23223","0.0033625","0","0","0.04","16.29194","0.0066875","0.002","0","0.04","16.12504","0.0067","0.002","0"
"0.05","13.53423","0.00413125","0.002","0","0.05","14.01901","0.00420625","0.001","0","0.05","17.79397","0.008381249","0.003","0","0.05","17.60324","0.008324999","0.003","0"
"0.06","14.28922","0.00496875","0.002","0.001","0.06","14.81374","0.00505625","0.001","0","0.06","19.3119","0.01006875","0.003","0","0.06","19.04964","0.01000625","0.004","0"
"0.07","15.10779","0.0058125","0.003","0.001","0.07","15.56079","0.00589375","0.002","0","0.07","20.79805","0.01170625","0.004","0","0.07","20.44837","0.01169375","0.005","0"
"0.08","15.90252","0.00665625","0.003","0.001","0.08","16.24425","0.0067125","0.002","0","0.08","22.20472","0.01335","0.005","0","0.08","21.78351","0.0133875","0.007","0"
"0.09","16.64162","0.0075","0.004","0.001","0.09","16.92772","0.007525","0.003","0","0.09","23.5637","0.0150375","0.006","0","0.09","23.06302","0.01504375","0.007","0"
"0.1","17.31714","0.0083375","0.004","0.001","0.1","17.65092","0.00834375","0.003","0","0.1","24.93064","0.0167375","0.007","0","0.1","24.27896","0.0166625","0.008","0"
"0.11","18.0165","0.00918125","0.005","0.001","0.11","18.4377","0.0091875","0.004","0.001","0.11","26.29757","0.018425","0.008","0","0.11","25.50284","0.0183375","0.009000001","0"
"0.12","18.7397","0.010025","0.005","0.001","0.12","19.23243","0.0100375","0.004","0.001","0.12","27.6645","0.0200625","0.009000001","0","0.12","26.7903","0.02003125","0.01","0"
"0.13","19.43906","0.01084375","0.006","0.001","0.13","19.97948","0.01086875","0.005","0.001","0.13","28.95196","0.0217","0.01","0","0.13","28.14134","0.02173125","0.011","0"
"0.14","20.10663","0.01165625","0.006","0.001","0.14","20.67884","0.01170625","0.005","0.001","0.14","30.152","0.02338125","0.01","0","0.14","29.55596","0.02338125","0.012","0"
"0.15","20.80599","0.01246875","0.007","0.001","0.15","21.31462","0.01255","0.006","0.001","0.15","31.3282","0.025075","0.011","0.001","0.15","30.97852","0.025","0.013","0"
"0.16","21.50536","0.01331875","0.008","0.001","0.16","21.94246","0.01339375","0.006","0.001","0.16","32.51235","0.026775","0.012","0.001","0.16","32.3534","0.02666875","0.014","0"
"0.17","22.13319","0.0141625","0.008","0.001","0.17","22.62592","0.01423125","0.007","0.001","0.17","33.71239","0.02840625","0.012","0.001","0.17","33.6806","0.02835625","0.015","0"
"0.18","22.72129","0.01499375","0.009000001","0.001","0.18","23.38886","0.01505","0.007","0.001","0.18","34.9919","0.03003125","0.013","0.001","0.18","34.96806","0.03005","0.016","0.001"
"0.19","23.37297","0.01583125","0.009000001","0.001","0.19","24.18359","0.0158625","0.008","0.001","0.19","36.35089","0.0317125","0.014","0.001","0.19","36.25552","0.0317","0.017","0.001"
"0.2","24.11207","0.01666875","0.01","0.001","0.2","24.96243","0.016675","0.008","0.001","0.2","37.77345","0.033425","0.014","0.001","0.2","37.54298","0.0333125","0.018","0.001"
"0.21","24.85116","0.0175125","0.01","0.001","0.21","25.68563","0.01751875","0.009000001","0.001","0.21","39.20396","0.03510625","0.015","0.001","0.21","38.8066","0.03498125","0.018","0.001"
"0.22","25.57437","0.01835","0.011","0.001","0.22","26.39294","0.0183625","0.009000001","0.001","0.22","40.66626","0.03674375","0.016","0.001","0.22","40.03048","0.03668125","0.019","0.001"
"0.23","26.26578","0.019175","0.011","0.001","0.23","27.08435","0.0192","0.01","0.001","0.23","42.18419","0.03839375","0.017","0.001","0.23","41.27026","0.0383875","0.02","0.001"
"0.24","26.9413","0.0199875","0.012","0.001","0.24","27.76782","0.0200375","0.01","0.001","0.24","43.77365","0.040075","0.018","0.001","0.24","42.5895","0.04004375","0.021","0.001"
"0.25","27.60092","0.0208125","0.012","0.001","0.25","28.46718","0.020875","0.011","0.001","0.25","45.37106","0.0417625","0.019","0.001","0.25","43.95644","0.04166875","0.022","0.001"
"0.26","28.2526","0.02165625","0.013","0.001","0.26","29.23807","0.02171875","0.011","0.001","0.26","46.98436","0.0434375","0.02","0.001","0.26","45.26774","0.04335","0.023","0.001"
"0.27","28.91223","0.0225","0.013","0.001","0.27","30.03279","0.02255625","0.012","0.001","0.27","48.56586","0.04506875","0.021","0.001","0.27","46.53136","0.0450375","0.024","0.001"
"0.28","29.61159","0.02333125","0.014","0.001","0.28","30.77984","0.023375","0.012","0.001","0.28","50.04406","0.04670625","0.022","0.001","0.28","47.83471","0.04671875","0.025","0.001"
