"1 _ 1",,,,,"1 _ 2",,,,,"1 _ 3",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
"407","2013.349","5.000069","-.----","-1.278",,,,,,"384.5","1998.138","5.000106","-.----","-0.284"
"407.01","2013.405","5.000231","-.----","-1.278",,,,,,"384.51","1998.21","5.000281","-.----","-0.284"
"407.02","2013.429","5.0004","-.----","-1.278",,,,,,"384.52","1998.25","5.000443","-.----","-0.284"
"407.03","2013.429","5.000568","-.----","-1.278",,,,,,"384.53","1998.25","5.000612","-.----","-0.284"
"407.04","2013.453","5.000731","-.----","-1.278",,,,,,"384.54","1998.234","5.000775","-.----","-0.284"
"407.05","2013.485","5.0009","-.----","-1.278",,,,,,"384.55","1998.274","5.000944","-.----","-0.284"
"407.06","2013.461","5.001069","-.----","-1.278",,,,,,"384.56","1998.369","5.001106","-.----","-0.284"
"407.07","2013.429","5.001231","-.----","-1.278",,,,,,"384.57","1998.464","5.001268","-.----","-0.284"
"407.08","2013.413","5.0014","-.----","-1.278",,,,,,"384.58","1998.488","5.001437","-.----","-0.284"
"407.09","2013.461","5.001569","-.----","-1.278",,,,,,"384.59","1998.464","5.001606","-.----","-0.284"
"407.1","2013.5","5.001738","-.----","-1.278",,,,,,"384.6","1998.488","5.001769","-.----","-0.284"
"407.11","2013.5","5.001906","-.----","-1.278",,,,,,"384.61","1998.599","5.001937","-.----","-0.284"
"407.12","2013.477","5.002075","-.----","-1.278",,,,,,"384.62","1998.734","5.0021","-.----","-0.284"
"407.13","2013.485","5.002237","-.----","-1.278",,,,,,"384.63","1998.766","5.002269","-.----","-0.284"
"407.14","2013.58","5.002406","-.----","-1.278",,,,,,"384.64","1998.671","5.002438","-.----","-0.284"
"407.15","2013.723","5.002575","-.----","-1.278",,,,,,"384.65","1998.576","5.0026","-.----","-0.284"
"407.16","2013.842","5.002738","-.----","-1.278",,,,,,"384.66","1998.536","5.002769","-.----","-0.284"
"407.17","2013.866","5.002906","-.----","-1.278",,,,,,"384.67","1998.552","5.002931","-.----","-0.284"
"407.18","2013.81","5.003068","-.----","-1.278",,,,,,"384.68","1998.583","5.003106","-.----","-0.284"
"407.19","2013.699","5.003237","-.----","-1.278",,,,,,"384.69","1998.647","5.003275","-.----","-0.284"
"407.2","2013.628","5.003406","-.----","-1.278",,,,,,"384.7","1998.695","5.003438","-.----","-0.284"
"407.21","2013.628","5.003569","-.----","-1.278",,,,,,"384.71","1998.742","5.003606","-.----","-0.284"
"407.22","2013.667","5.003737","-.----","-1.278",,,,,,"384.72","1998.766","5.003775","-.----","-0.284"
"407.23","2013.699","5.0039","-.----","-1.278",,,,,,"384.73","1998.734","5.003943","-.----","-0.284"
"407.24","2013.699","5.004069","-.----","-1.278",,,,,,"384.74","1998.671","5.004106","-.----","-0.284"
"407.25","2013.691","5.004237","-.----","-1.278",,,,,,"384.75","1998.655","5.004275","-.----","-0.284"
"407.26","2013.691","5.004406","-.----","-1.278",,,,,,"384.76","1998.719","5.004444","-.----","-0.284"
"407.27","2013.771","5.004575","-.----","-1.278",,,,,,"384.77","1998.814","5.004612","-.----","-0.284"
"407.28","2013.882","5.004737","-.----","-1.278",,,,,,"384.78","1998.885","5.004775","-.----","-0.284"
"407.29","2013.953","5.004906","-.----","-1.278",,,,,,"384.79","1998.909","5.004944","-.----","-0.284"
"407.3","2013.953","5.005075","-.----","-1.278",,,,,,"384.8","1998.909","5.005106","-.----","-0.284"
"407.31","2013.914","5.005238","-.----","-1.278",,,,,,"384.81","1998.925","5.005275","-.----","-0.284"
"407.32","2013.914","5.005406","-.----","-1.278",,,,,,"384.82","1999.021","5.005437","-.----","-0.284"
"407.33","2013.953","5.005575","-.----","-1.278",,,,,,"384.83","1999.18","5.005606","-.----","-0.284"
"407.34","2014.025","5.005744","-.----","-1.278",,,,,,"384.84","1999.299","5.005769","-.----","-0.284"
"407.35","2014.144","5.005912","-.----","-1.278",,,,,,"384.85","1999.307","5.005938","-.----","-0.284"
"407.36","2014.263","5.006081","-.----","-1.278",,,,,,"384.86","1999.259","5.0061","-.----","-0.284"
"407.37","2014.327","5.00625","-.----","-1.278",,,,,,"384.87","1999.203","5.006269","-.----","-0.284"
"407.38","2014.287","5.006413","-.----","-1.278",,,,,,"384.88","1999.211","5.006444","-.----","-0.284"
"407.39","2014.24","5.006581","-.----","-1.278",,,,,,"384.89","1999.283","5.006606","-.----","-0.284"
"407.4","2014.255","5.00675","-.----","-1.278",,,,,,"384.9","1999.323","5.006769","-.----","-0.284"
"407.41","2014.335","5.006912","-.----","-1.278",,,,,,"384.91","1999.275","5.006938","-.----","-0.284"
"407.42","2014.399","5.007081","-.----","-1.278",,,,,,"384.92","1999.188","5.007106","-.----","-0.284"
"407.43","2014.375","5.007244","-.----","-1.278",,,,,,"384.93","1999.203","5.007275","-.----","-0.284"
"407.44","2014.303","5.007412","-.----","-1.278",,,,,,"384.94","1999.275","5.007443","-.----","-0.284"
"407.45","2014.311","5.007575","-.----","-1.278",,,,,,"384.95","1999.346","5.007612","-.----","-0.284"
"407.46","2014.383","5.007737","-.----","-1.278",,,,,,"384.96","1999.37","5.007781","-.----","-0.284"
"407.47","2014.422","5.007906","-.----","-1.278",,,,,,"384.97","1999.378","5.007944","-.----","-0.284"
"407.48","2014.375","5.008075","-.----","-1.278",,,,,,"384.98","1999.418","5.008106","-.----","-0.284"
"407.49","2014.351","5.008237","-.----","-1.278",,,,,,"384.99","1999.442","5.008275","-.----","-0.284"
