PA46 TW200F6 _1,,,,,PA46 TW200F6 _2,,,,,PA46 TW200F6 _3,,,,,PA46 TW200F6 _4,,,,,PA46 TW200F6 _5,,,,,PA66 1300G _1,,,,,PA66 1300G _2,,,,,PA66 1300G _3,,,,,PA66 1300G _4,,,,,PA66 1300G _5,,,,
时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规,时间,载荷,行程,引伸计1,宽度规
sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm,sec,N,mm,mm,mm
0,11.28515,0,0,0,0,13.54218,0,0,0,0,12.25471,0,0,0,0,10.67321,0,0,0,0,12.15935,0,0,0,0,11.79377,0,0,0,0,10.86394,0,0,0,0,11.72225,0,0,0,0,12.72361,0,0,0,0,12.35803,0,0,0
0.01,14.78195,0.0017,0,0,0.01,17.1423,0.00165625,0,0,0.01,15.03627,0.00165625,0,0,0.01,14.41638,0.0016875,0,0,0.01,14.97269,0.001625,0,0,0.01,15.529,0.00168125,0,0,0.01,14.43227,0.00164375,0,0,0.01,15.50515,0.001625,0,0,0.01,16.39525,0.00165625,0,0,0.01,15.70384,0.001625,0,0
0.02,18.19929,0.00336875,0,0,0.02,20.69473,0.0033375,0,0,0.02,18.00855,0.00335,0,0,0.02,18.12776,0.00339375,0,0,0.02,18.0165,0.003275,0,0,0.02,19.23243,0.00338125,0,0,0.02,17.98471,0.00333125,0,0,0.02,19.34369,0.003275,0,0,0.02,20.051,0.0033375,0,0,0.02,19.12912,0.003275,0,0
0.03,21.48946,0.00499375,0,0,0.03,24.19154,0.00503125,0,0,0.03,21.0921,0.0050375,0,0,0.03,21.77556,0.005075,0,0,0.03,21.31462,0.0049625,0.001,0,0.03,22.89613,0.00505,0.001,0,0.03,21.47357,0.005025,0,0,0.03,23.22197,0.0049625,0.001,0,0.03,23.64318,0.00503125,0.001,0,0.03,22.60208,0.00496875,0,0
0.04,24.66838,0.00665,0.001,0,0.04,27.69629,0.0067,0.001,0,0.04,24.13591,0.0067125,0.001,0,0.04,25.44721,0.00669375,0.001,0.0001,0.04,24.65248,0.00665625,0.001,0,0.04,26.52804,0.0066625,0.002,0,0.04,24.8909,0.00670625,0.001,0,0.04,27.08435,0.00665625,0.002,0,0.04,27.13203,0.0067,0.001,0,0.04,26.14657,0.0066625,0.001,0
0.05,27.80755,0.0083375,0.001,0,0.05,31.24873,0.008324999,0.002,0,0.05,27.06051,0.008331249,0.001,0,0.05,29.15859,0.00834375,0.002,0.0001,0.05,27.76782,0.00831875,0.002,0,0.05,30.19174,0.008324999,0.002,0,0.05,28.32413,0.00831875,0.001,0,0.05,30.83547,0.00831875,0.002,0,0.05,30.62089,0.008324999,0.002,0,0.05,29.67517,0.008331249,0.001,0
0.06,31.02621,0.010025,0.002,0,0.06,34.80911,0.0099875,0.002,0,0.06,29.92948,0.009981249,0.002,0,0.06,32.89382,0.01003125,0.003,0.0001,0.06,30.64474,0.00994375,0.002,0,0.06,33.85544,0.01001875,0.003,0,0.06,31.84477,0.00996875,0.002,0,0.06,34.49917,0.00994375,0.003,0,0.06,34.15744,0.009981249,0.002,0,0.06,33.21965,0.00995,0.002,0
0.07,34.34022,0.0117,0.002,0,0.07,38.3695,0.011675,0.003,0,0.07,32.79845,0.011675,0.002,0,0.07,36.58931,0.011725,0.003,0.0001,0.07,33.43423,0.0116,0.003,0,0.07,37.51914,0.01170625,0.003,0,0.07,35.48463,0.01165625,0.002,0,0.07,38.12313,0.01160625,0.004,0,0.07,37.73372,0.01166875,0.003,0,0.07,36.83567,0.01160625,0.002,0
0.08,37.66219,0.01331875,0.003,0.0001,0.08,41.91399,0.0133625,0.004,0,0.08,35.7151,0.0133875,0.003,0,0.08,40.22916,0.01339375,0.004,0.0001,0.08,36.33499,0.01329375,0.003,0.0001,0.08,41.17489,0.013375,0.004,0,0.08,39.16423,0.0133625,0.003,0,0.08,41.77888,0.01329375,0.004,0,0.08,41.30204,0.0133625,0.003,0,0.08,40.51526,0.01329375,0.003,0
