"1 _ 1",,,,,"1 _ 2",,,,,"1 _ 3",,,,,"1 _ 4",,,,,"1 _ 5",,,,,"1 _ 6",,,,,"1 _ 7",,,,
"时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规","时间","载荷","行程","引伸计1","宽度规"
"sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm","sec","N","mm","mm","mm"
"365.17","2455.862","24.99997","-.----","-0.0298","371.76","2442.503","25.00016","-.----","-0.03","367.05","2447.43","25.00019","-.----","-0.0347","389.99","2464.453","24.99987","-.----","-0.0343","367.84","2453.558","25.00016","-.----","-0.0302","362","2450.236","25.00088","-.----","-0.0341","347.32","2450.164","25.00018","-.----","-0.0345"
"365.18","2455.791","25.00082","-.----","-0.0298","371.77","2442.574","25.00097","-.----","-0.03","367.06","2447.573","25.00102","-.----","-0.0347","390","2464.469","25.00069","-.----","-0.0343","367.85","2453.51","25.00099","-.----","-0.0302","362.01","2450.164","25.00169","-.----","-0.0341","347.33","2450.156","25.00099","-.----","-0.0345"
"365.19","2455.735","25.00166","-.----","-0.0298","371.78","2442.567","25.0018","-.----","-0.03","367.07","2447.629","25.00184","-.----","-0.0347","390.01","2464.438","25.00154","-.----","-0.0343","367.86","2453.446","25.00181","-.----","-0.0302","362.02","2449.997","25.00252","-.----","-0.0341","347.34","2450.109","25.00182","-.----","-0.0345"
"365.2","2455.735","25.00249","-.----","-0.0298","371.79","2442.527","25.00265","-.----","-0.03","367.08","2447.605","25.00265","-.----","-0.0347","390.02","2464.429","25.00238","-.----","-0.0343","367.87","2453.446","25.00262","-.----","-0.0302","362.03","2449.91","25.00337","-.----","-0.0341","347.35","2450.061","25.00267","-.----","-0.0345"
"365.21","2455.783","25.00333","-.----","-0.0298","371.8","2442.519","25.0035","-.----","-0.03","367.09","2447.605","25.00349","-.----","-0.0347","390.03","2464.429","25.00322","-.----","-0.0343","367.88","2453.462","25.00345","-.----","-0.0302","362.04","2449.958","25.00421","-.----","-0.0341","347.36","2450.045","25.00351","-.----","-0.0345"
"365.22","2455.807","25.00416","-.----","-0.0298","371.81","2442.567","25.00433","-.----","-0.03","367.1","2447.7","25.00434","-.----","-0.0347","390.04","2464.429","25.00406","-.----","-0.0343","367.89","2453.446","25.0043","-.----","-0.0302","362.05","2450.045","25.00504","-.----","-0.0341","347.37","2450.093","25.00435","-.----","-0.0345"
"365.23","2455.807","25.005","-.----","-0.0298","371.82","2442.614","25.00517","-.----","-0.03","367.11","2447.756","25.00518","-.----","-0.0347","390.05","2464.414","25.00489","-.----","-0.0343","367.9","2453.399","25.00515","-.----","-0.0302","362.06","2450.045","25.00589","-.----","-0.0341","347.38","2450.156","25.00519","-.----","-0.0345"
"365.24","2455.767","25.00584","-.----","-0.0298","371.83","2442.638","25.00601","-.----","-0.03","367.12","2447.708","25.00602","-.----","-0.0347","390.06","2464.382","25.00569","-.----","-0.0343","367.91","2453.343","25.00598","-.----","-0.0302","362.07","2449.973","25.00673","-.----","-0.0341","347.39","2450.18","25.00603","-.----","-0.0345"
"365.25","2455.759","25.00665","-.----","-0.0298","371.84","2442.614","25.00686","-.----","-0.03","367.13","2447.613","25.00686","-.----","-0.0347","390.07","2464.334","25.00651","-.----","-0.0343","367.92","2453.375","25.00682","-.----","-0.0302","362.08","2449.902","25.00756","-.----","-0.0341","347.4","2450.164","25.00687","-.----","-0.0345"
